epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,3420.65,1.10052,0.95029,1.18426,0.69912,0.56948,0.63527,0.40044,1.29553,1.08541,1.29432,0.0005942,0.0005942,0.0005942
73,3468.38,1.09574,0.94802,1.17918,0.71185,0.55774,0.63768,0.40019,1.30959,1.08608,1.30668,0.0005744,0.0005744,0.0005744
74,3516.21,1.10054,0.94245,1.17949,0.73448,0.5479,0.63549,0.39932,1.31967,1.10627,1.3229,0.0005546,0.0005546,0.0005546
75,3564.09,1.08423,0.92977,1.17293,0.73704,0.54907,0.63869,0.40256,1.30776,1.07808,1.32888,0.0005348,0.0005348,0.0005348
76,3612.82,1.08826,0.92306,1.16996,0.72055,0.55603,0.63527,0.40163,1.30852,1.08407,1.32062,0.000515,0.000515,0.000515
77,3660.27,1.07357,0.91767,1.16661,0.73857,0.55817,0.64143,0.4043,1.30871,1.07325,1.30744,0.0004952,0.0004952,0.0004952
78,3707.75,1.06964,0.90307,1.16468,0.73466,0.55902,0.64009,0.40398,1.30097,1.06982,1.30535,0.0004754,0.0004754,0.0004754
79,3755.51,1.07952,0.92177,1.16213,0.76174,0.54106,0.63673,0.40481,1.29959,1.07955,1.30038,0.0004556,0.0004556,0.0004556
80,3802.96,1.05018,0.87892,1.14779,0.73579,0.54911,0.63567,0.40307,1.29652,1.08606,1.31312,0.0004358,0.0004358,0.0004358
81,3850.29,1.08134,0.90987,1.16225,0.75234,0.54192,0.64137,0.40439,1.28891,1.07033,1.29948,0.000416,0.000416,0.000416
82,3897.47,1.05355,0.88835,1.15149,0.74,0.55346,0.63439,0.40487,1.28911,1.07216,1.2996,0.0003962,0.0003962,0.0003962
83,3944.5,1.05568,0.89077,1.15424,0.72277,0.55988,0.63571,0.40415,1.29034,1.08367,1.2872,0.0003764,0.0003764,0.0003764
84,3991.64,1.04658,0.87234,1.15006,0.74349,0.55417,0.63947,0.40703,1.28571,1.07538,1.28637,0.0003566,0.0003566,0.0003566
85,4038.79,1.06172,0.89174,1.15751,0.71541,0.56544,0.63261,0.40385,1.29401,1.09316,1.29786,0.0003368,0.0003368,0.0003368
86,4085.84,1.04905,0.87743,1.15391,0.73897,0.55218,0.63612,0.40439,1.29585,1.07849,1.29345,0.000317,0.000317,0.000317
87,4133.35,1.04026,0.86212,1.14288,0.75545,0.53208,0.63385,0.40342,1.28987,1.07997,1.2916,0.0002972,0.0002972,0.0002972
88,4180.69,1.03669,0.86667,1.14366,0.72175,0.55218,0.63707,0.40537,1.28506,1.07167,1.29282,0.0002774,0.0002774,0.0002774
89,4228.07,1.0238,0.83835,1.13567,0.72269,0.56801,0.64006,0.40691,1.28732,1.08024,1.29405,0.0002576,0.0002576,0.0002576
90,4275.76,1.02726,0.8472,1.13585,0.74118,0.55304,0.63656,0.40738,1.27544,1.08138,1.28605,0.0002378,0.0002378,0.0002378
91,4323.79,0.99475,0.75924,1.10865,0.70056,0.56137,0.62811,0.39855,1.30368,1.09723,1.30902,0.000218,0.000218,0.000218
92,4369.56,0.96743,0.74632,1.09364,0.73516,0.54733,0.63125,0.40191,1.29872,1.08273,1.30635,0.0001982,0.0001982,0.0001982
93,4415.57,0.95707,0.72834,1.08635,0.72255,0.55304,0.63146,0.4015,1.29657,1.08175,1.30504,0.0001784,0.0001784,0.0001784
94,4462.22,0.94858,0.71974,1.07952,0.74236,0.54962,0.63286,0.40343,1.29398,1.08379,1.30627,0.0001586,0.0001586,0.0001586
95,4508.23,0.95263,0.71897,1.08039,0.7488,0.54405,0.63159,0.40224,1.30036,1.08564,1.30925,0.0001388,0.0001388,0.0001388
96,4554.45,0.94523,0.70067,1.07151,0.72466,0.56735,0.63264,0.40369,1.29947,1.08459,1.31404,0.000119,0.000119,0.000119
97,4601.83,0.93823,0.70462,1.07756,0.74558,0.55151,0.63196,0.4045,1.29951,1.08315,1.31336,9.92e-05,9.92e-05,9.92e-05
98,4648.77,0.93818,0.70447,1.07285,0.72611,0.55945,0.63572,0.40656,1.30053,1.08359,1.31377,7.94e-05,7.94e-05,7.94e-05
99,4695.33,0.93337,0.69921,1.07518,0.72557,0.56202,0.63507,0.40321,1.30072,1.07942,1.316,5.96e-05,5.96e-05,5.96e-05
100,4742.69,0.92557,0.69705,1.06563,0.71957,0.56373,0.63669,0.40369,1.30152,1.07974,1.31614,3.98e-05,3.98e-05,3.98e-05
